Mods count: 248
 
jar name                                                                           | mod id (isMCreator)                            | mixin configs
        /META-INF/jars/fabric-object-builder-api-v1-0.92.6.jar                     | fabric-object-builder-api-v1                   | fabric-object-builder-v1.mixins.json, fabric-object-builder-v1.client.mixins.json
        /META-INF/jars/fabric-particles-v1-0.92.6.jar                              | fabric-particles-v1                            | fabric-particles-v1.client.mixins.json
        /META-INF/jars/fabric-recipe-api-v1-0.92.6.jar                             | fabric-recipe-api-v1                           | fabric-recipe-api-v1.mixins.json
        /META-INF/jars/fabric-registry-sync-v0-0.92.6.jar                          | fabric-registry-sync-v0                        | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
        /META-INF/jars/fabric-renderer-api-v1-0.92.6.jar                           | fabric-renderer-api-v1                         | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
        /META-INF/jars/fabric-renderer-indigo-0.92.6.jar                           | fabric-renderer-indigo                         | fabric-renderer-indigo.mixins.json
        /META-INF/jars/fabric-renderer-registries-v1-0.92.6.jar                    | fabric-renderer-registries-v1                  | 
        /META-INF/jars/fabric-rendering-data-attachment-v1-0.92.6.jar              | fabric-rendering-data-attachment-v1            | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
        /META-INF/jars/fabric-rendering-fluids-v1-0.92.6.jar                       | fabric-rendering-fluids-v1                     | fabric-rendering-fluids-v1.mixins.json
        /META-INF/jars/fabric-rendering-v0-0.92.6.jar                              | fabric-rendering-v0                            | 
        /META-INF/jars/fabric-rendering-v1-0.92.6.jar                              | fabric-rendering-v1                            | fabric-rendering-v1.mixins.json
        /META-INF/jars/fabric-resource-conditions-api-v1-0.92.6.jar                | fabric-resource-conditions-api-v1              | fabric-resource-conditions-api-v1.mixins.json
        /META-INF/jars/fabric-resource-loader-v0-0.92.6.jar                        | fabric-resource-loader-v0                      | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
        /META-INF/jars/fabric-screen-api-v1-0.92.6.jar                             | fabric-screen-api-v1                           | fabric-screen-api-v1.mixins.json
        /META-INF/jars/fabric-screen-handler-api-v1-0.92.6.jar                     | fabric-screen-handler-api-v1                   | fabric-screen-handler-api-v1.mixins.json
        /META-INF/jars/fabric-sound-api-v1-0.92.6.jar                              | fabric-sound-api-v1                            | fabric-sound-api-v1.mixins.json
        /META-INF/jars/fabric-transfer-api-v1-0.92.6.jar                           | fabric-transfer-api-v1                         | fabric-transfer-api-v1.mixins.json
        /META-INF/jars/fabric-transitive-access-wideners-v1-0.92.6.jar             | fabric-transitive-access-wideners-v1           | 
    /META-INF/jars/fabric-api-base-0.4.32+1802ada577.jar                           | fabric-api-base                                | 
    /META-INF/jars/fabric-api-lookup-api-v1-1.6.37+1802ada577.jar                  | fabric-api-lookup-api-v1                       | fabric-api-lookup-api-v1.mixins.json
    /META-INF/jars/fabric-biome-api-v1-13.0.14+1802ada577.jar                      | fabric-biome-api-v1                            | fabric-biome-api-v1.mixins.json
    /META-INF/jars/fabric-block-api-v1-1.0.12+1802ada577.jar                       | fabric-block-api-v1                            | fabric-block-api-v1.mixins.json
    /META-INF/jars/fabric-block-view-api-v2-1.0.3+924f046a77.jar                   | fabric-block-view-api-v2                       | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jars/fabric-blockrenderlayer-v1-1.1.42+1802ada577.jar                | fabric-blockrenderlayer-v1                     | fabric-blockrenderlayer-v1.mixins.json
    /META-INF/jars/fabric-client-tags-api-v1-1.1.3+1802ada577.jar                  | fabric-client-tags-api-v1                      | 
    /META-INF/jars/fabric-command-api-v1-1.2.35+f71b366f77.jar                     | fabric-command-api-v1                          | 
    /META-INF/jars/fabric-command-api-v2-2.2.14+1802ada577.jar                     | fabric-command-api-v2                          | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json
    /META-INF/jars/fabric-commands-v0-0.2.52+df3654b377.jar                        | fabric-commands-v0                             | 
    /META-INF/jars/fabric-containers-v0-0.1.67+df3654b377.jar                      | fabric-containers-v0                           | fabric-containers-v0.accurate.mixins.json, fabric-containers-v0.mixins.json
    /META-INF/jars/fabric-content-registries-v0-4.0.13+1802ada577.jar              | fabric-content-registries-v0                   | fabric-content-registries-v0.mixins.json
    /META-INF/jars/fabric-convention-tags-v1-1.5.6+1802ada577.jar                  | fabric-convention-tags-v1                      | 
    /META-INF/jars/fabric-crash-report-info-v1-0.2.20+1802ada577.jar               | fabric-crash-report-info-v1                    | fabric-crash-report-info-v1.mixins.json
    /META-INF/jars/fabric-data-attachment-api-v1-1.0.2+de0fd6d177.jar              | fabric-data-attachment-api-v1                  | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json
    /META-INF/jars/fabric-data-generation-api-v1-12.3.7+1802ada577.jar             | fabric-data-generation-api-v1                  | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json
    /META-INF/jars/fabric-dimensions-v1-2.1.55+1802ada577.jar                      | fabric-dimensions-v1                           | fabric-dimensions-v1.mixins.json
    /META-INF/jars/fabric-entity-events-v1-1.6.1+1c78457f77.jar                    | fabric-entity-events-v1                        | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json
    /META-INF/jars/fabric-events-interaction-v0-0.6.5+13a40c6677.jar               | fabric-events-interaction-v0                   | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json
    /META-INF/jars/fabric-events-lifecycle-v0-0.2.64+df3654b377.jar                | fabric-events-lifecycle-v0                     | 
    /META-INF/jars/fabric-game-rule-api-v1-1.0.41+1802ada577.jar                   | fabric-game-rule-api-v1                        | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json
    /META-INF/jars/fabric-item-api-v1-2.1.29+1802ada577.jar                        | fabric-item-api-v1                             | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json
    /META-INF/jars/fabric-item-group-api-v1-4.0.14+1802ada577.jar                  | fabric-item-group-api-v1                       | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json
    /META-INF/jars/fabric-key-binding-api-v1-1.0.38+1802ada577.jar                 | fabric-key-binding-api-v1                      | fabric-key-binding-api-v1.mixins.json
    /META-INF/jars/fabric-keybindings-v0-0.2.36+df3654b377.jar                     | fabric-keybindings-v0                          | 
    /META-INF/jars/fabric-lifecycle-events-v1-2.2.23+1802ada577.jar                | fabric-lifecycle-events-v1                     | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json
    /META-INF/jars/fabric-loot-api-v2-1.2.3+1802ada577.jar                         | fabric-loot-api-v2                             | fabric-loot-api-v2.mixins.json
    /META-INF/jars/fabric-loot-tables-v1-1.1.47+9e7660c677.jar                     | fabric-loot-tables-v1                          | fabric-loot-tables-v1.mixins.json
    /META-INF/jars/fabric-message-api-v1-5.1.10+1802ada577.jar                     | fabric-message-api-v1                          | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json
    /META-INF/jars/fabric-mining-level-api-v1-2.1.52+1802ada577.jar                | fabric-mining-level-api-v1                     | fabric-mining-level-api-v1.mixins.json
    /META-INF/jars/fabric-model-loading-api-v1-1.0.4+1802ada577.jar                | fabric-model-loading-api-v1                    | fabric-model-loading-api-v1.mixins.json
    /META-INF/jars/fabric-models-v0-0.4.3+9386d8a777.jar                           | fabric-models-v0                               | 
    /META-INF/jars/fabric-networking-api-v1-1.3.14+a158aa0477.jar                  | fabric-networking-api-v1                       | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json
    /META-INF/jars/fabric-networking-v0-0.3.54+df3654b377.jar                      | fabric-networking-v0                           | 
    /META-INF/jars/fabric-object-builder-api-v1-11.1.5+e35120df77.jar              | fabric-object-builder-api-v1                   | fabric-object-builder-v1.mixins.json, fabric-object-builder-v1.client.mixins.json
    /META-INF/jars/fabric-particles-v1-1.1.3+1802ada577.jar                        | fabric-particles-v1                            | fabric-particles-v1.client.mixins.json
    /META-INF/jars/fabric-recipe-api-v1-1.0.24+1802ada577.jar                      | fabric-recipe-api-v1                           | fabric-recipe-api-v1.mixins.json
    /META-INF/jars/fabric-registry-sync-v0-2.3.6+1802ada577.jar                    | fabric-registry-sync-v0                        | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json
    /META-INF/jars/fabric-renderer-api-v1-3.2.2+1802ada577.jar                     | fabric-renderer-api-v1                         | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jars/fabric-renderer-indigo-1.5.3+85287f9f77.jar                     | fabric-renderer-indigo                         | fabric-renderer-indigo.mixins.json
    /META-INF/jars/fabric-renderer-registries-v1-3.2.47+df3654b377.jar             | fabric-renderer-registries-v1                  | 
    /META-INF/jars/fabric-rendering-data-attachment-v1-0.3.39+92a0d36777.jar       | fabric-rendering-data-attachment-v1            | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
    /META-INF/jars/fabric-rendering-fluids-v1-3.0.29+1802ada577.jar                | fabric-rendering-fluids-v1                     | fabric-rendering-fluids-v1.mixins.json
    /META-INF/jars/fabric-rendering-v0-1.1.50+df3654b377.jar                       | fabric-rendering-v0                            | 
    /META-INF/jars/fabric-rendering-v1-3.0.9+1802ada577.jar                        | fabric-rendering-v1                            | fabric-rendering-v1.mixins.json
    /META-INF/jars/fabric-resource-conditions-api-v1-2.3.9+1802ada577.jar          | fabric-resource-conditions-api-v1              | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-0.11.12+fb82e9d777.jar                | fabric-resource-loader-v0                      | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.9+1802ada577.jar                       | fabric-screen-api-v1                           | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-screen-handler-api-v1-1.3.33+1802ada577.jar              | fabric-screen-handler-api-v1                   | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jars/fabric-sound-api-v1-1.0.14+1802ada577.jar                       | fabric-sound-api-v1                            | fabric-sound-api-v1.mixins.json
    /META-INF/jars/fabric-transfer-api-v1-3.3.6+8dd72ea377.jar                     | fabric-transfer-api-v1                         | fabric-transfer-api-v1.mixins.json
    /META-INF/jars/fabric-transitive-access-wideners-v1-4.3.2+1802ada577.jar       | fabric-transitive-access-wideners-v1           | 
distraction_free_recipes-forge-1.2.1-1.20.1.jar                                    | distraction_free_recipes                       | mixins.distraction_free_recipes.json
doomsday_decoration-1.1.3-forge-1.20.1.jar                                         | doomsday_decoration (MCreator mod)             | 
drippyloadingscreen_forge_3.1.2_MC_1.20.1.jar                                      | drippyloadingscreen                            | drippyloadingscreen.forge.mixins.json, drippyloadingscreen.mixins.json
dummmmmmy-1.20-2.0.9.jar                                                           | dummmmmmy                                      | dummmmmmy-common.mixins.json, dummmmmmy.mixins.json
dynamiclights-v1.9-mc1.17-1.21.5-mod.jar                                           | dynamiclights                                  | 
eatinganimation-1.20.1-5.1.0.jar                                                   | eatinganimation                                | 
ecologic_fixes-0.0.1.jar                                                           | ecologic_fixes                                 | ecologic_fixes.mixins.json
ecologics-forge-1.20.1-2.2.2.jar                                                   | ecologics                                      | ecologics-common.mixins.json, ecologics.mixins.json
embeddium-0.3.31+mc1.20.1.jar                                                      | embeddium                                      | embeddium.mixins.json
emi-1.1.22+1.20.1+forge.jar                                                        | emi                                            | emi-forge.mixins.json, emi.mixins.json
EnchantmentDescriptions-Forge-1.20.1-17.1.21.jar                                   | enchdesc                                       | 
Enhanced-Celestials-forge-1.20.1-5.0.3.2.jar                                       | enhancedcelestials                             | enhancedcelestials.forge.mixins.json, enhancedcelestials.mixins.json, enhancedcelestials_asm.mixins.json
EnhancedVisuals_FORGE_v1.8.2_mc1.20.1.jar                                          | enhancedvisuals                                | enhancedvisuals.mixins.json, enhancedvisuals.fabric.mixins.json, enhancedvisuals.mixin.refmap.json
entity_model_features_1.20.1-forge-3.0.12.jar                                      | entity_model_features                          | entity_model_features.mixins.json
entity_texture_features_1.20.1-forge-7.0.9.jar                                     | entity_texture_features                        | entity_texture_features.mixins.json
entityculling-forge-1.9.5-mc1.20.1.jar                                             | entityculling                                  | entityculling.mixins.json, entityculling.refmap.mixins.json
    /META-INF/jars/TRansition-1.0.11-1.20.1-forge-SNAPSHOT.jar                     | transition                                     | transition.mixins.json, transition.refmap.mixins.json
    /META-INF/jars/TRender-1.0.10-1.20.1-forge-SNAPSHOT.jar                        | trender                                        | trender.mixins.json, trender.refmap.mixins.json
EuphoriaPatcher-1.9.2-r5.8.1-forge.jar                                             | euphoria_patcher                               | euphoria_patcher.mixins.json
experimentalsettingsdisabler-1.20.1-3.0.jar                                        | experimentalsettingsdisabler                   | experimentalsettingsdisabler.mixins.json, experimentalsettingsdisabler.mixins-refmap.json
explosiveenhancement-1.1.0-1.20.1-client-and-server.jar                            | explosiveenhancement                           | explosiveenhancement.mixins.json
extra_zombie_drops-1.0.0.jar                                                       | extra_zombie_drops (MCreator mod)              | 
extragore-1.20.1-5.2.3.1.jar                                                       | extragore                                      | 
EZActions-forge-1.20.1-2.0.1.6.jar                                                 | ezactions                                      | ezactions.forge.mixins.json, ezactions.mixins.json
fallingtrees-forge-mc1.20-0.13.2-SNAPSHOT.jar                                      | fallingtrees                                   | fallingtrees.mixins.json, fallingtrees-common.mixins.json
fancymenu_forge_3.9.6_MC_1.20.1.jar                                                | fancymenu                                      | fancymenu.mixins.json, fancymenu.forge.mixins.json
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar            |                                                | 
    /META-INF/jarjar/japng-0.5.3.jar                                               |                                                | 
FarmersDelight-1.20.1-1.2.10.jar                                                   | farmersdelight                                 | farmersdelight.mixins.json
fastpaintings-1.20-1.2.7.jar                                                       | fastpaintings                                  | fastpaintings-forge.mixins.json, fastpaintings.mixins.json
FastSuite-1.20.1-5.1.2.jar                                                         | fastsuite                                      | fastsuite.mixins.json
feralzombie-0.5-BETA.jar                                                           | feralzombie                                    | feralzombie.mixins.json
ferritecore-6.0.1-forge.jar                                                        | ferritecore                                    | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json
firstjoinmessage-1.20.1-3.8.jar                                                    | firstjoinmessage                               | firstjoinmessage_fabric.mixins.json, firstjoinmessage_forge.mixins.json
flan-1.20.1-1.11.15-forge.jar                                                      | flan                                           | flan.forge.mixins.json, flan.mixins.json
    /META-INF/jars/lingua_bib-1.20.1-1.0.6-forge.jar                               | lingua_bib                                     | lingua_bib.mixins.json, lingua_bib.forge.mixins.json
Flashier Flashlights 1.2.0.jar                                                     | flashlightmod                                  | flashlightmod.mixins.json, flashlightmod-iris-compat.mixins.json
    /META-INF/jarjar/jcodec-0.2.5.jar                                              |                                                | 
forgivingworld-1.20.1-4.7.jar                                                      | forgivingworld                                 | forgivingworld.mixins.json
